Date,Price,Open,High,Low,Volume,Change
"Oct 25, 2012",1571.85,1568.4,1587.7,1565.7,-,0.19
"Oct 24, 2012",1568.85,1582.15,1585.95,1555.85,-,-0.82
"Oct 23, 2012",1581.8,1615.0,1616.1,1572.6,-,-2.06
"Oct 22, 2012",1615.15,1617.45,1629.55,1605.65,-,-0.12
"Oct 21, 2012",1617.05,1621.05,1621.05,1616.35,-,-0.29
"Oct 19, 2012",1621.75,1647.75,1651.95,1613.0,-,-1.55
"Oct 18, 2012",1647.35,1667.6,1677.6,1643.05,-,-1.21
"Oct 17, 2012",1667.5,1654.0,1672.6,1652.15,-,0.81
"Oct 16, 2012",1654.15,1642.6,1654.35,1636.9,-,0.7
"Oct 15, 2012",1642.6,1639.55,1650.0,1623.25,-,0.19
"Oct 14, 2012",1639.5,1655.35,1657.05,1635.3,-,-0.96
"Oct 12, 2012",1655.35,1686.25,1691.5,1655.2,-,-1.83
"Oct 11, 2012",1686.15,1669.8,1695.45,1663.5,-,0.9
"Oct 10, 2012",1671.05,1688.15,1693.55,1667.75,-,-1.04
"Oct 09, 2012",1688.55,1696.2,1714.3,1687.9,-,-0.45
"Oct 08, 2012",1696.15,1697.2,1699.85,1677.8,-,-0.06
"Oct 07, 2012",1697.25,1711.25,1711.25,1694.1,-,-0.82
"Oct 05, 2012",1711.25,1727.05,1734.45,1704.15,-,-0.89
"Oct 04, 2012",1726.7,1691.45,1726.75,1691.45,-,2.1
"Oct 03, 2012",1691.15,1679.45,1694.7,1671.9,-,0.68
"Oct 02, 2012",1679.7,1677.35,1690.05,1673.1,-,0.13
"Oct 01, 2012",1677.5,1656.65,1690.35,1649.6,-,1.27
"Sep 30, 2012",1656.45,1665.45,1666.75,1655.8,-,-0.65
"Sep 28, 2012",1667.25,1657.85,1679.9,1655.2,-,0.58
"Sep 27, 2012",1657.65,1641.2,1662.6,1632.5,-,1.01
"Sep 26, 2012",1641.0,1632.8,1641.9,1616.75,-,0.5
"Sep 25, 2012",1632.85,1626.7,1647.35,1622.2,-,0.39
"Sep 24, 2012",1626.5,1634.35,1635.55,1611.6,-,-0.48
"Sep 23, 2012",1634.4,1638.15,1639.3,1630.4,-,-0.09
"Sep 21, 2012",1635.8,1629.8,1647.15,1629.8,-,0.42
"Sep 20, 2012",1628.9,1641.45,1641.5,1596.55,-,-0.77
"Sep 19, 2012",1641.5,1621.6,1646.95,1621.15,-,1.23
"Sep 18, 2012",1621.6,1665.2,1677.2,1619.65,-,-2.62
"Sep 17, 2012",1665.3,1708.3,1715.75,1663.05,-,-2.52
"Sep 16, 2012",1708.4,1708.6,1710.85,1706.9,-,-0.04
"Sep 14, 2012",1709.0,1693.05,1716.3,1683.45,-,0.95
"Sep 13, 2012",1692.85,1643.3,1693.2,1639.15,-,3.01
"Sep 12, 2012",1643.45,1605.95,1658.95,1604.8,-,2.33
"Sep 11, 2012",1606.0,1592.5,1612.45,1588.8,-,0.86
"Sep 10, 2012",1592.35,1597.5,1608.75,1589.6,-,-0.32
"Sep 09, 2012",1597.45,1591.4,1597.6,1591.05,-,0.36
"Sep 07, 2012",1591.75,1580.85,1606.4,1561.7,-,0.67
"Sep 06, 2012",1581.1,1568.05,1593.45,1565.2,-,0.85
"Sep 05, 2012",1567.8,1567.2,1576.8,1543.1,-,0.06
"Sep 04, 2012",1566.9,1553.1,1570.55,1549.85,-,0.9
"Sep 03, 2012",1553.0,1541.6,1554.75,1538.0,-,0.74
"Sep 02, 2012",1541.65,1539.75,1543.2,1538.3,-,0.1
"Aug 31, 2012",1540.15,1507.7,1541.2,1498.55,-,2.16
"Aug 30, 2012",1507.65,1517.0,1528.75,1501.9,-,-0.64
"Aug 29, 2012",1517.35,1518.15,1525.15,1510.45,-,-0.06
"Aug 28, 2012",1518.2,1545.55,1545.55,1514.0,-,-1.75
"Aug 27, 2012",1545.3,1550.7,1557.55,1540.65,-,-0.29
"Aug 26, 2012",1549.75,1552.7,1554.2,1549.75,-,-0.05
"Aug 24, 2012",1550.45,1542.1,1555.45,1533.3,-,0.53
"Aug 23, 2012",1542.25,1539.6,1563.3,1531.0,-,0.2
"Aug 22, 2012",1539.1,1508.95,1540.8,1505.45,-,2.0
"Aug 21, 2012",1508.9,1489.45,1511.55,1479.85,-,1.29
"Aug 20, 2012",1489.65,1477.75,1498.45,1461.25,-,0.84
"Aug 19, 2012",1477.2,1478.5,1478.5,1473.8,-,0.17
"Aug 17, 2012",1474.75,1437.0,1475.6,1437.0,-,2.65
"Aug 16, 2012",1436.65,1396.25,1443.9,1396.1,-,2.9
"Aug 15, 2012",1396.2,1396.85,1406.3,1393.0,-,-0.05
"Aug 14, 2012",1396.85,1390.1,1412.9,1389.7,-,0.58
"Aug 13, 2012",1388.85,1401.1,1404.2,1385.95,-,-0.85
"Aug 12, 2012",1400.75,1401.85,1403.85,1399.05,-,-0.01
"Aug 10, 2012",1400.95,1412.85,1412.85,1393.1,-,-0.87
"Aug 09, 2012",1413.2,1409.15,1418.95,1408.6,-,0.28
