Date,Open,High,Low,Close,Volume
2018-04-13,295000,295000,286500,290000,986753
2018-04-16,289500,302000,289500,295500,823788
2018-04-17,296000,296000,289000,290000,661254
2018-04-18,294500,295500,283000,284500,938020
2018-04-19,283000,283500,265500,266500,2211139
2018-04-20,266000,275500,257500,269000,1941848
2018-04-23,265000,267500,249500,250500,1984284
2018-04-24,251000,260500,248000,248500,1681692
2018-04-25,245500,256500,244000,251000,1327901
2018-04-26,257000,260500,255500,257000,954716
2018-04-27,265500,278000,260000,276500,1351327
2018-04-30,275000,281500,267000,271000,1031836
2018-05-02,267500,272500,256000,259000,1284374
2018-05-03,261500,267000,257000,262000,844005
2018-05-04,262500,264000,249000,250000,1087480
2018-05-08,251000,256000,234000,236000,1422120
2018-05-09,235000,264500,234000,259000,2553475
2018-05-10,260000,264000,252500,259000,1328424
2018-05-11,257000,267500,256000,260000,1034512
2018-05-14,262500,264000,254500,255000,783485
2018-05-15,262000,271500,262000,268000,1489555
